value,trat
2,WCc
15.5,DC
14.68,WCt
14.5,WCc
12.7,DC
12.53,DC
11.8,WCc
11.43,WCt
11.29,DC
11.16,DC
10.8,DC
10.45,DC
10.45,WCt
10.12,WCt
9.96,WCt
9.89,WCt
9.5,DC
9.4,DC
9.4,DC
9.3,DC
8.9,WCc
8.87,WCc
8.65,WCt
8.56,WCt
8.5,DC
8.4,WCc
8.4,WCc
8.3,WCc
8.24,DC
8.2,WCc
8.2,WCt
8.11,WCt
7.93,WCt
7.8,WCc
7.7,DC
7.56,DC
7.49,WCt
7.4,DC
7.34,DC
7.31,DC
7.31,DC
7.29,DC
7.27,WCt
7.2,DC
7.15,DC
7.12,WCt
7.1,DC
7.1,WCc
6.96,DC
6.85,WCt
6.81,WCt
6.8,DC
6.76,WCt
6.73,WCt
6.7,DC
6.69,DC
6.68,DC
6.67,DC
6.61,WCt
6.6,DC
6.59,WCt
6.57,WCt
6.52,DC
6.5,DC
6.5,DC
6.49,WCt
6.49,WCt
6.49,WCt
6.47,DC
6.46,DC
6.38,WCc
6.32,WCt
6.29,DC
6.29,WCt
6.27,WCt
6.26,WCc
6.23,DC
6.23,WCt
6.22,DC
6.21,WCc
6.15,WCc
6.15,WCc
6.15,WCt
6.12,DC
6.12,WCt
6.1,WCc
6.09,WCc
6.09,WCc
6.03,WCc
6.01,WCc
6,WCc
5.98,WCt
5.95,WCt
5.92,WCc
5.86,WCc
5.81,DC
5.8,WCc
5.77,WCt
5.74,WCt
5.7,DC
5.7,DC
5.68,WCc
5.68,WCc
5.67,WCt
5.63,DC
5.62,WCt
5.6,WCc
5.58,WCc
5.58,WCt
5.56,DC
5.55,DC
5.54,DC
5.54,DC
5.54,WCt
5.53,DC
5.53,DC
5.51,DC
5.51,DC
5.51,WCc
5.47,DC
5.47,DC
5.46,DC
5.45,WCc
5.45,WCc
5.44,DC
5.43,DC
5.43,DC
5.41,DC
5.36,WCt
5.35,DC
5.35,DC
5.34,WCc
5.34,WCc
5.33,DC
5.32,WCt
5.3,DC
5.3,DC
5.3,DC
5.29,WCt
5.28,WCc
5.28,WCc
5.28,WCc
5.28,WCc
5.28,WCc
5.27,WCt
5.25,WCt
5.22,DC
5.22,WCc
5.21,WCt
5.21,WCt
5.19,DC
5.16,DC
5.16,DC
5.16,WCc
5.16,WCc
5.16,WCc
5.15,WCt
5.14,DC
5.13,DC
5.11,DC
5.11,WCt
5.1,WCt
5.09,WCt
5.08,DC
5.07,DC
5.05,DC
5.05,DC
5.05,DC
5.05,WCt
5.05,WCt
5.04,WCt
5.03,DC
5.02,WCt
5,DC
5,DC
4.99,WCc
4.98,WCc
4.94,WCt
4.93,WCc
4.93,WCc
4.93,WCc
4.91,WCt
4.9,DC
4.9,WCt
4.89,WCt
4.88,WCt
4.87,WCc
4.87,WCt
4.86,WCt
4.85,DC
4.84,WCt
4.83,WCt
4.82,DC
4.81,WCc
4.81,WCc
4.8,DC
4.8,DC
4.78,DC
4.78,DC
4.76,WCc
4.75,WCt
4.75,WCt
4.73,DC
4.73,WCt
4.73,WCt
4.72,DC
4.72,WCt
4.71,WCt
4.7,DC
4.7,WCc
4.7,WCc
4.7,WCc
4.7,WCc
4.69,WCt
4.68,WCt
4.68,WCt
4.68,WCt
4.65,WCt
4.64,WCc
4.6,WCc
4.59,DC
4.59,WCt
4.59,WCt
4.58,WCc
4.55,WCt
4.55,WCt
4.54,DC
4.54,DC
4.54,WCt
4.52,WCc
4.52,WCc
4.52,WCc
4.52,WCc
4.52,WCc
4.52,WCc
4.51,DC
4.51,DC
4.5,WCt
4.49,DC
4.47,WCc
4.47,WCc
4.47,WCc
4.45,DC
4.44,DC
4.43,DC
4.41,WCc
4.41,WCc
4.41,WCc
4.41,WCc
4.41,WCt
4.4,DC
4.4,DC
4.4,WCt
4.39,WCt
4.36,WCt
4.36,WCt
4.35,WCc
4.35,WCc
4.35,WCc
4.34,WCt
4.32,DC
4.32,WCt
4.31,DC
4.3,DC
4.3,WCt
4.29,WCc
4.29,WCc
4.29,WCc
4.29,WCc
4.29,WCt
4.28,DC
4.28,WCt
4.27,DC
4.25,WCt
4.24,DC
4.24,DC
4.24,DC
4.23,DC
4.23,DC
4.23,WCc
4.23,WCc
4.23,WCc
4.23,WCc
4.23,WCt
4.22,DC
4.21,DC
4.21,DC
4.2,DC
4.2,WCt
4.19,DC
4.19,DC
4.18,WCc
4.18,WCc
4.18,WCc
4.18,WCc
4.18,WCt
4.15,DC
4.14,WCt
4.14,WCt
4.14,WCt
4.13,DC
4.13,DC
4.13,DC
4.13,WCc
4.13,WCt
4.13,WCt
4.12,WCc
4.12,WCc
4.1,DC
4.1,WCc
4.1,WCt
4.09,DC
4.09,WCt
4.07,DC
4.07,DC
4.07,DC
4.06,DC
4.06,WCc
4.06,WCt
4.05,WCt
4.04,DC
4.03,DC
4.03,DC
4.02,DC
4.01,DC
4.01,DC
4.01,DC
4.01,WCt
4,DC
4,DC
4,WCc
4,WCc
4,WCc
4,WCc
3.99,DC
3.97,DC
3.96,DC
3.96,WCt
3.95,WCt
3.95,WCt
3.95,WCt
3.94,WCc
3.94,WCc
3.93,WCt
3.91,DC
3.9,WCc
3.9,WCt
3.89,DC
3.89,DC
3.89,DC
3.89,DC
3.89,WCc
3.89,WCc
3.89,WCc
3.89,WCc
3.89,WCc
3.89,WCc
3.88,WCt
3.87,DC
3.87,DC
3.85,DC
3.85,DC
3.85,WCt
3.83,DC
3.83,WCc
3.83,WCc
3.83,WCc
3.83,WCc
3.83,WCt
3.83,WCt
3.82,DC
3.81,DC
3.8,DC
3.79,DC
3.79,WCt
3.78,DC
3.78,DC
3.78,WCt
3.77,WCc
3.77,WCc
3.77,WCc
3.77,WCc
3.77,WCt
3.75,WCt
3.75,WCt
3.74,DC
3.74,DC
3.74,DC
3.73,DC
3.72,WCc
3.72,WCt
3.71,DC
3.71,WCc
3.71,WCc
3.71,WCc
3.71,WCc
3.71,WCc
3.71,WCt
3.7,WCc
3.7,WCt
3.69,DC
3.68,DC
3.68,DC
3.68,WCt
3.68,WCt
3.67,DC
3.67,DC
3.67,DC
3.67,WCt
3.66,DC
3.66,DC
3.65,WCc
3.65,WCc
3.65,WCc
3.65,WCc
3.65,WCt
3.65,WCt
3.63,DC
3.63,DC
3.63,WCt
3.62,DC
3.62,WCt
3.61,DC
3.61,DC
