val$id;obsDC;model;extrapolation;predict
1;1.89;Cubist;TRUE;3.001867771
2;4.9;Cubist;TRUE;4.656143188
3;0.6;Cubist;TRUE;3.327154398
4;2.42;Cubist;TRUE;2.720022678
10;2.82;Cubist;TRUE;2.766888857
11;3.17;Cubist;TRUE;3.173191071
22;2.32;Cubist;TRUE;2.482792616
23;0.6;Cubist;TRUE;4.842381001
27;3.73;Cubist;TRUE;4.050876617
33;2.68;Cubist;TRUE;2.776144266
35;4.21;Cubist;TRUE;4.9397192
43;3.96;Cubist;TRUE;3.951512337
44;3.87;Cubist;TRUE;3.121850967
45;2.52;Cubist;TRUE;2.76999402
52;0.4;Cubist;TRUE;4.088106632
54;5.51;Cubist;TRUE;5.178561211
56;6.68;Cubist;TRUE;5.944316387
58;3.32;Cubist;TRUE;4.266460419
64;3.36;Cubist;TRUE;3.922590971
65;0.5;Cubist;TRUE;2.828974962
69;5.03;Cubist;TRUE;4.252019405
84;3.05;Cubist;TRUE;2.694971085
85;2.91;Cubist;TRUE;2.978355408
87;2.6;Cubist;TRUE;2.130751848
88;3.59;Cubist;TRUE;3.001816034
94;2.7;Cubist;TRUE;4.594158173
95;2.16;Cubist;TRUE;2.029782534
105;3.42;Cubist;TRUE;3.132386684
110;12.53;Cubist;TRUE;7.907596111
111;3.07;Cubist;TRUE;2.914375067
112;7.34;Cubist;TRUE;6.279884815
115;3.4;Cubist;TRUE;3.177125931
122;6.69;Cubist;TRUE;7.264118671
123;2.6;Cubist;TRUE;2.680555344
124;3.38;Cubist;TRUE;4.057977676
125;3.13;Cubist;TRUE;3.015843153
126;2.57;Cubist;TRUE;2.516425133
128;2.45;Cubist;TRUE;2.510569572
129;11.16;Cubist;TRUE;8.718206406
131;5.7;Cubist;TRUE;6.395951748
132;3.18;Cubist;TRUE;3.172582865
134;2.98;Cubist;TRUE;2.938780546
146;5.47;Cubist;TRUE;5.955142498
149;5.47;Cubist;TRUE;4.681696415
152;4.24;Cubist;TRUE;4.428050518
155;7.56;Cubist;TRUE;6.324114799
168;3.62;Cubist;TRUE;3.252656698
170;3.32;Cubist;TRUE;5.284615517
171;5.35;Cubist;TRUE;4.182540894
173;4.2;Cubist;TRUE;3.602281332
175;4.28;Cubist;TRUE;4.350559711
180;4.03;Cubist;TRUE;4.073830128
181;5.14;Cubist;TRUE;4.127101421
182;4.1;Cubist;TRUE;3.87403512
187;3.13;Cubist;TRUE;3.26346302
188;3.78;Cubist;TRUE;3.092185974
190;4.04;Cubist;TRUE;3.438492775
193;3.67;Cubist;TRUE;4.645394325
198;2.07;Cubist;TRUE;2.818405628
199;2.98;Cubist;TRUE;4.227117062
205;5.05;Cubist;TRUE;4.809392929
212;5.3;Cubist;TRUE;4.699407578
213;4.09;Cubist;TRUE;4.569100857
214;6.29;Cubist;TRUE;4.685948849
221;1.85;Cubist;TRUE;2.661388397
223;4.23;Cubist;TRUE;3.978333473
224;3.04;Cubist;TRUE;3.243773222
225;1.3;Cubist;TRUE;3.366319895
226;4.72;Cubist;TRUE;5.134949684
227;2.57;Cubist;TRUE;3.005859137
229;3.22;Cubist;TRUE;3.222094774
232;1.72;Cubist;TRUE;2.628972054
235;3.02;Cubist;TRUE;3.376113176
241;1.93;Cubist;TRUE;2.351448536
247;1.92;Cubist;TRUE;2.346595049
253;6.5;Cubist;TRUE;2.974424601
254;3.43;Cubist;TRUE;3.138329268
267;2;Cubist;TRUE;3.648518801
281;4.54;Cubist;TRUE;4.159402847
285;2.74;Cubist;TRUE;2.931768894
290;2.7;Cubist;TRUE;3.593955517
294;4.85;Cubist;TRUE;4.412610054
297;4.19;Cubist;TRUE;5.671047688
301;1.7;Cubist;TRUE;3.334932566
305;2.9;Cubist;TRUE;4.289344311
306;3.91;Cubist;TRUE;4.609197617
309;3.25;Cubist;TRUE;3.416795492
310;2.96;Cubist;TRUE;2.887305021
311;5.35;Cubist;TRUE;4.934736252
312;5.81;Cubist;TRUE;4.079112053
320;6.6;Cubist;TRUE;4.612688065
322;4.78;Cubist;TRUE;4.791261673
325;3.21;Cubist;TRUE;3.141793728
326;3.61;Cubist;TRUE;2.995795012
329;3.45;Cubist;TRUE;3.072084188
332;3.55;Cubist;TRUE;3.051537037
333;3.82;Cubist;TRUE;3.551206827
334;2.45;Cubist;TRUE;4.739706039
338;5.19;Cubist;TRUE;3.620990992
344;2.58;Cubist;TRUE;4.392845631
346;4.02;Cubist;TRUE;2.563222408
349;2.37;Cubist;TRUE;3.102322102
353;2.5;Cubist;TRUE;4.837679863
357;2.24;Cubist;TRUE;2.625034809
358;3;Cubist;TRUE;3.110708475
359;2.76;Cubist;TRUE;3.000527859
361;2.92;Cubist;TRUE;2.638908625
365;3;Cubist;TRUE;2.903142691
367;3.85;Cubist;TRUE;2.952190161
370;2.43;Cubist;TRUE;3.081497908
371;5.08;Cubist;TRUE;2.68731308
380;2.67;Cubist;TRUE;2.288270473
381;4.4;Cubist;TRUE;4.173138142
382;2.08;Cubist;TRUE;2.355877161
383;3.11;Cubist;TRUE;2.812836885
385;9.4;Cubist;TRUE;4.657509327
388;5;Cubist;TRUE;3.484150887
1;1.89;Cubist;FALSE;3.036199331
2;4.9;Cubist;FALSE;5.026625633
3;0.6;Cubist;FALSE;3.093552589
4;2.42;Cubist;FALSE;2.820207357
10;2.82;Cubist;FALSE;2.844104052
11;3.17;Cubist;FALSE;3.207174301
22;2.32;Cubist;FALSE;2.461251974
23;0.6;Cubist;FALSE;4.46522522
27;3.73;Cubist;FALSE;4.159286976
33;2.68;Cubist;FALSE;2.527309895
35;4.21;Cubist;FALSE;4.751093388
43;3.96;Cubist;FALSE;4.035860538
44;3.87;Cubist;FALSE;3.204683304
45;2.52;Cubist;FALSE;2.620591402
52;0.4;Cubist;FALSE;4.003493309
54;5.51;Cubist;FALSE;5.164406776
56;6.68;Cubist;FALSE;6.027030468
58;3.32;Cubist;FALSE;3.851480007
64;3.36;Cubist;FALSE;4.413667679
65;0.5;Cubist;FALSE;2.378705978
69;5.03;Cubist;FALSE;4.25721693
